ts,session_id,type,detail_json
2025-10-24T00:12:56.724Z,20251024-001235-58dd6d,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-24T00:13:01.822Z,20251024-001235-58dd6d,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 453}"
2025-10-24T00:13:05.320Z,20251024-001235-58dd6d,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-24T00:13:07.960Z,20251024-001235-58dd6d,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 224}"
2025-10-24T00:13:09.052Z,20251024-001235-58dd6d,hit,"{""lives_after"": 1, ""difficulty"": 1.45}"
2025-10-24T00:13:11.964Z,20251024-001235-58dd6d,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-24T00:13:15.566Z,20251024-001235-58dd6d,hit,"{""lives_after"": 0, ""difficulty"": 1.11}"
2025-11-05T16:59:03.568Z,20251105-165854-df51ff,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 289}"
2025-11-05T16:59:05.341Z,20251105-165854-df51ff,hit,"{""lives_after"": 2, ""difficulty"": 1.27}"
2025-11-05T16:59:07.379Z,20251105-165854-df51ff,powerup_pickup,"{""kind"": ""slowmo""}"
2025-11-05T16:59:11.343Z,20251105-165854-df51ff,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 468}"
2025-11-05T16:59:12.685Z,20251105-165854-df51ff,hit,"{""lives_after"": 1, ""difficulty"": 1.0}"
2025-11-05T16:59:15.234Z,20251105-165854-df51ff,powerup_pickup,"{""kind"": ""slowmo""}"
2025-11-05T17:09:32.186Z,20251105-170923-6a1fb3,powerup_spawn,"{""kind"": ""shield"", ""x"": 797}"
